"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",11.9746846431305,0.0496948732763512,240.964185108991,0
"p6800",0.0142818274077087,0.00297243987371789,4.80474896531557,1.55502986346313e-06
"p6850",0.0119500238771517,0.00288632646759642,4.14021906783922,3.47680210425296e-05
"rama2d_r403",0.164647119038378,0.0906390701419191,1.81651377028228,0.0692990293887631
"rama2d_r405",0.968943226873991,0.169317879994994,5.72262791680735,1.05631581893319e-08
"rama2d_r407",0.0376459197912978,0.108924911729482,0.345613498267435,0.729635005787181
"rama2d_r410",0.712012525845009,0.0503280535206834,14.1474282440188,2.48824889827781e-45
"rama2d_r411",0.893109786951655,0.131007464780441,6.81724349408978,9.41095991642903e-12
"rama2d_r413",-0.0103639769673256,0.155557059675576,-0.0666249219992992,0.946880635714733
"rama2d_r414",0.396526615201281,0.0588193190137443,6.7414349885388,1.58941236088443e-11
"rama2d_r415",0.241777434624277,0.0820115194621964,2.94809114877728,0.00319926278561663
"rama2d_r416",0.119569936866698,0.143190807250855,0.835039198132488,0.40370059297039
"rama2d_r420",0.997727402526736,0.132182416034085,7.54810989586891,4.50918451917272e-14
"rama2d_r422",0.733314432742339,0.125474735514692,5.84431941405823,5.12553703836974e-09
"rama2d_r423",0.783850826163137,0.11277863778346,6.95034841321784,3.69918479291339e-12
"rama2d_r425",0.657674962334668,0.0697695915776384,9.42638400860951,4.46253508016458e-21
"rama2d_r431",0.517327421819422,0.0709765021965038,7.28871395193809,3.18662748115927e-13
"rama2d_r432",0.290553011514364,0.117526803067652,2.47222764450686,0.0134314989908827
"rama2d_r433",0.9319241075457,0.111678571841692,8.34469936512738,7.3637964252874e-17
"rama2d_r435",1.1442910141789,0.0970458433874365,11.791241893901,4.89039227854848e-32
"rama2d_r436",1.06168493560651,0.113158198580043,9.38230679640524,6.7794911959376e-21
"rama2d_r438",0.280352711300986,0.0764049234766443,3.66930164371783,0.000243527562377789
"rama2d_r441",0.632326627652247,0.0340960470842448,18.545452676373,1.8499885154651e-76
"rama2d_r442",0.928507432951158,0.067431875379839,13.7695626544708,4.86521689831185e-43
"rama2d_r443",0.731088693875313,0.0567534573950633,12.8818353529755,6.76927606797158e-38
"rama2d_r445",0.64200489231645,0.0433208316557734,14.8197730232377,1.47504181612027e-49
"rama2d_r446",0.932433704593698,0.0470425179030347,19.8210841204473,5.09943669902511e-87
"rama2d_r447",0.407541814296526,0.027293649885548,14.9317447833285,2.79348819334499e-50
"rama2d_r449",0.546550101418925,0.0326624107289322,16.7333056324221,1.22112646482871e-62
"rama2d_r452",0.591966238151859,0.0631276678931743,9.37728666222224,7.10934235501887e-21
"rama2d_r453",0.690917820167997,0.0692455560091216,9.97779294424301,2.02990502527358e-23
"rama2d_r455",0.842051134206539,0.0640190933243558,13.1531249582097,1.96945855714205e-39
"rama2d_r456",0.411352017584894,0.0327856795876286,12.5466979107584,4.84113196318237e-36
"rama2d_r461",0.872606970793149,0.0906475547671839,9.62637076128885,6.53341695680991e-22
"rama2d_r462",1.30774339829763,0.123930018663066,10.5522730683439,5.3616599195778e-26
"rama2d_r464",1.09636157206,0.0699252477119435,15.6790516721007,3.06619638988561e-55
"rama2d_r465",1.22694673511165,0.104560924933984,11.7342758385726,9.58131242068822e-32
"rama2d_r468",0.826641096737281,0.0624914454937765,13.2280681012509,7.31888933014723e-40
"rama2d_r469",0.933584652483786,0.0742159629997976,12.5792971585686,3.2112185025146e-36
"rama2d_r470",1.17128850368884,0.148102798813573,7.90861829129387,2.66858922823543e-15
"rama2d_r471",1.13900940126201,0.0991823978185815,11.4839873436557,1.77138605805807e-30
"rama2d_r473",1.0605012715323,0.112403433966622,9.43477644862004,4.12009766614862e-21
"rama2d_r474",0.839486970931903,0.112790916445947,7.44285973892418,1.00490696648218e-13
"rama2d_r477",0.809489361033006,0.142405923815815,5.68437983015359,1.32193916349347e-08
"rama2d_r479",0.955941996511974,0.156579854238304,6.10514041644906,1.03646961038745e-09
"rama2d_r480",0.861362469264603,0.0819194942496048,10.5147434948765,7.98046710416492e-26
"rama2d_r481",0.335312064789835,0.0475948837575455,7.04512834820562,1.88259041487674e-12
"rama2d_r482",0.948227576880007,0.0772671269845454,12.2720698165685,1.47510212267971e-34
"rama2d_r484",1.35541064178955,0.0420366081573932,32.2435777100433,3.21441234410055e-225
"rama2d_r485",1.29579460973764,0.0391457836079787,33.1017670437827,4.29763278666935e-237
"rama2d_r486",1.06173118310851,0.0393603987734655,26.9746043280503,7.62458691547108e-159
"rama2d_r488",0.734372010303198,0.0755062201229202,9.7259803113926,2.47258729066879e-22
"rama2d_r490",0.296163241607076,0.155642714060362,1.90284038282844,0.0570685015952479
"rama2d_r492",0.44797225702944,0.0959051595395851,4.67099225088655,3.007152388625e-06
"rama2d_r493",0.902484729898163,0.104270690989143,8.65521002437906,5.09898580223224e-18
"rama2d_r494",1.03514716773544,0.0783969899987306,13.2039146879517,1.0075337090365e-39
"rama2d_r495",0.298540101803605,0.0633637391509886,4.71152911434438,2.46684909810126e-06
"rama2d_r496",0.425962049806908,0.0472454003498826,9.01594751345919,2.03542221216492e-19
"rama2d_r497",0.499125239669988,0.0408178852525218,12.2281013967805,2.53165651756903e-34
